ATL,Atlanta Hawks,GA
BKN,Brooklyn Nets,NY
BOS,Boston Celtics,MA
CHA,Charlotte Hornets,NC
CHI,Chicago Bulls,IL
CLE,Cleveland Cavaliers,OH
DAL,Dallas Mavericks,TX
DEN,Denver Nuggets,CO
DET,Detroit Pistons,MI
GSW,Golden State Warriors,CA
HOU,Houston Rockets,TX
IND,Indiana Pacers,IN
LAC,Los Angeles Clippers,CA
LAL,Los Angeles Lakers,CA
MEM,Memphis Grizzlies,TN
MIA,Miami Heat,FL
MIL,Milwaukee Bucks,WI
MIN,Minnesota Timberwolves,MN
NOP,New Orleans Pelicans,LA
NYK,New York Knicks,NY
OKC,Oklahoma City Thunder,OK
ORL,Orlando Magic,FL
PHI,Philadelphia 76ers,PA
PHX,Phoenix Suns,AZ
POR,Portland Trail Blazers,OR
SAC,Sacramento Kings,CA
SAS,San Antonio Spurs,TX
TOR,Toronto Raptors,ON
UTA,Utah Jazz,UT
WAS,Washington Wizards,DC
